Nazwa;Ludność;Powierzchnia
Powiat bolesławiecki;87642;1303
Powiat dzierżoniowski;94740;479
Powiat głogowski;85043;443
Powiat górowski;32459;738
Powiat jaworski;47213;581
Powiat karkonoski;60438;627
Powiat kamiennogórski;40319;396
Powiat kłodzki;146952;1643
Powiat legnicki;55032;744
Powiat lubański;51410;428
Powiat lubiński;102872;712
Powiat lwówecki;42817;710
Powiat milicki;35603;715
Powiat oleśnicki;106516;1049
Powiat oławski;77428;524
Powiat polkowicki;61189;780
Powiat strzeliński;41782;622
Powiat średzki;59078;704
Powiat świdnicki;150410;741
Powiat trzebnicki;87635;1025
Powiat wałbrzyski;52656;430
Powiat wołowski;45458;675
Powiat wrocławski;187153;1118
Powiat ząbkowicki;60562;802
Powiat zgorzelecki;85139;839
Powiat złotoryjski;40616;576
Powiat m. Jelenia Góra;75124;109
Powiat m. Legnica;91948;56
Powiat m. Wrocław;673743;293
Powiat m. Wałbrzych od 2013;100294;85
Powiat aleksandrowski;53458;475
Powiat brodnicki;77791;1040
Powiat bydgoski;126981;1394
Powiat chełmiński;49123;527
Powiat golubsko-dobrzyński;43278;613
Powiat grudziądzki;39137;729
Powiat inowrocławski;150555;1225
Powiat lipnowski;62578;1016
Powiat mogileński;43577;675
Powiat nakielski;82874;1120
Powiat radziejowski;37812;607
Powiat rypiński;41185;587
Powiat sępoleński;38826;791
Powiat świecki;94831;1474
Powiat toruński;114303;1230
Powiat tucholski;46917;1075
Powiat wąbrzeski;32420;501
Powiat włocławski;82151;1472
Powiat żniński;67536;985
Powiat m. Bydgoszcz;326434;176
Powiat m. Grudziądz;88658;58
Powiat m. Toruń;194771;116
Powiat m. Włocławek;100807;85
Powiat bialski;104849;2754
Powiat biłgorajski;96158;1681
Powiat chełmski;73705;1881
Powiat hrubieszowski;56783;1270
Powiat janowski;42796;876
Powiat krasnostawski;59041;1032
Powiat kraśnicki;89215;1005
Powiat lubartowski;83975;1289
Powiat lubelski;164469;1680
Powiat łęczyński;55721;637
Powiat łukowski;100959;1394
Powiat opolski;55650;811
Powiat parczewski;32223;952
Powiat puławski;107020;934
Powiat radzyński;55021;965
